Budget year (group),Project type,Project name,TEI,BP4 Agency,Completion date,Completion date string,Earliest budget year,Est completion date,Est exp to date,Estimated completion date,EstimatedCompletionDM,EstimatedCompletionYear,Fixed notes,Footnotes,Project location,Regional,State Electorate,Remaining exp,Sector,Start date
2019-20,Existing,Ballarat Health Services expansion and redevelopment,"461,600,000",Department of Health and Human Services,6/30/2026,Jun-26,2018-19,qtr 4 2025‑26,800000,6/30/2026 12:00:00 AM,30-Jun,26,,,Ballarat,Regional,WENDOUREE,460800000,Health and human services,6/01/2018
2019-20,Existing,Ballarat Line Upgrade,"545,014,000",Victorian Rail Track (VicTrack),6/30/2020,Jun-20,2016-17,qtr 4 2019‑20,370472000,6/30/2020 12:00:00 AM,30-Jun,20,"TEI includes $467.000 million of Commonwealth funding, and excludes $4.441 million due to certain expenditure being recognised as operating instead of capital in line with accounting standards.","TEI has increased by $93.000 million due to scope variations and market conditions, and decreased by $6.893 million due to savings. TEI includes $503.000 million of Commonwealth funding.",Regional,Regional,WENDOUREE,174542000,Transport,6/01/2016
2019-20,New,Barwon Heads Road upgrade,"318,300,000",Department of Transport,6/30/2089,,2019-20,tbc,0,,,,,The TEI includes $292.000 million of Commonwealth Government funding.,Barwon Heads,Regional,BELLARINE,318300000,Transport,6/01/2019
2019-20,New,Bendigo Law Courts Redevelopment,"152,396,000",Court Services Victoria,9/30/2022,Sep-22,2019-20,qtr 1 2022‑23,0,9/30/2022 12:00:00 AM,30-Sep,22,,,Bendigo,Regional,BENDIGO WEST,152396000,Justice and emergency services,6/01/2019
2019-20,New,Building a better hospital for Melbourne's inner west,"1,495,000,000",Department of Health and Human Services,6/30/2025,Jun-25,2019-20,qtr 4 2024‑25,0,6/30/2025 12:00:00 AM,30-Jun,25,Cash flows to be confirmed.  TEI includes $65 million provided in previous budgets and excludes financing costs.,This project is a PPP where the upfront capital investment has resulted in additional scope and whole-of-life benefits whilst remaining within the project’s affordability benchmark. The TEI reflects the inclusion of the Victoria University project components which are to be reimbursed by Victoria University.,Footscray,Metropolitan,FOOTSCRAY,1495000000,Health and human services,6/01/2019
2019-20,New,Building a world class Geelong Performing Arts Centre,"128,000,000",Other public non-financial corporations,6/30/2023,Jun-23,2019-20,qtr 4 2022‑23,0,6/30/2023 12:00:00 AM,30-Jun,23,,The estimated completion date has been revised to quarter 1 2023-24 to reflect the planned public opening date of the Geelong Performing Arts Centre.,Geelong,Regional,GEELONG,128000000,"Culture, sport and community",6/01/2019
2019-20,Existing,Casey Hospital Expansion,"139,780,000",Department of Health and Human Services,6/30/2020,Jun-20,2015-16,qtr 4 2019‑20,120277000,6/30/2020 12:00:00 AM,30-Jun,20,The project's cashflow has been revised in line with a revised project schedule.,Expenditure excludes financing costs. The project's cashflow has been revised in line with a revised project schedule.,Berwick,Metropolitan,BERWICK,19503000,Health and human services,6/01/2015
2019-20,Existing,Chandler Highway upgrade,"100,015,000",Department of Transport,9/30/2019,Sep-19,2015-16,qtr 1 2019‑20,91801000,9/30/2019 12:00:00 AM,30-Sep,19,The estimated completion date has been revised to quarter 1 2019‑20 due to unexpected asbestos.,TEI has increased by $25.400 million due to unexpected asbestos contaminated materials.,"Alphington, Kew",Metropolitan,KEW,8214000,Transport,6/01/2015
2019-20,Existing,City Loop fire and safety (upgrade stage 2) and intruder alarm,"151,743,000",Victorian Rail Track (VicTrack),6/30/2089,,2016-17,tbc,41176000,,,,"The main delivery contractor has been put into administration, and work is progressing to assess the impact to cost and schedule.","The TEI has decreased by $4.322 million due to budgeted amounts being reclassified as operating instead of capital expenditure, in line with accounting standards.",Melbourne,Metropolitan,MELBOURNE,110567000,Transport,6/01/2016
2019-20,New,Cranbourne Line Duplication,"750,000,000",Victorian Rail Track (VicTrack),6/30/2020,Jun-20,2019-20,qtr 4 2019‑20,0,6/30/2020 12:00:00 AM,30-Jun,20,,The TEI has decreased by $83.300 million due to savings made in project delivery. The project completion date has been brought forward due to the project being completed ahead of schedule.,Metropolitan,Metropolitan,NARRE WARREN SOUTH,750000000,Transport,6/01/2019
